Subject,Detailed_Condition,Score,Trials,Lexical.ACC,Lexical.RT_mean,Lexical.RT_sd,Penalty,Reward,TestDuration,Load_Condition,Speed_Condition,Lexical.Correct_Trials,Lexical.Correct_RT_mean,Lexical.Correct_RT_sd,Lexical.Incorrect_Trials,Lexical.Incorrect_RT_mean,Lexical.Incorrect_RT_sd,RT_sec,RewardRate,Payoff,a,v,t0
19073,Load_Speed_Mid,830,46,0.934782608695652,716.521739130435,227.823688079711,10,20,60,Load,Speed_Mid,43,715.116279069767,234.850936442097,3,736.666666666667,94.4792746232386,0.7165217391304349,25.18203883495144,10,1.440974,3.164563,0.435632
19073,NoLoad_Accuracy_Max,760,48,0.958333333333333,706.395833333333,284.894361876605,80,20,60,NoLoad,Accuracy_Max,46,669.521739130435,226.744960902521,2,1554.5,6.36396103067893,0.706395833333333,22.414250744683958,80,1.470887,4.561033,0.425749
19073,NoLoad_Accuracy_Mid,940,53,0.962264150943396,606.830188679245,239.911500978771,40,20,60,NoLoad,Accuracy_Mid,51,611.862745098039,243.081798545909,2,478.5,65.7609306503489,0.606830188679245,29.227038119519925,40,1.546619,4.572828,0.343364
19073,NoLoad_Neutral,940,52,0.95343228200371,624.615398886828,163.659429102899,20,20,60,NoLoad,Neutral,99,625.707070707071,171.373399010087,5,527.6,230.205994709087,0.6246153988868279,29.03753463726987,20,1.612908,4.001106,0.381916
19073,NoLoad_Speed_Max,910,58,0.827586206896552,499.258620689655,210.114802399873,5,20,60,NoLoad,Speed_Max,48,523.8125,219.780805334809,10,381.4,93.2942775427423,0.499258620689655,31.425907379908164,5,1.080176,5.505969,0.34263
19073,NoLoad_Speed_Mid,840,54,0.851851851851852,578.722222222222,189.883620431506,10,20,60,NoLoad,Speed_Mid,46,588.673913043478,200.177371831176,8,521.5,104.889057035109,0.5787222222222219,26.879139867524255,10,1.029968,2.999521,0.36128
19074,Load_Accuracy_Max,800,45,0.977777777777778,765.355555555556,331.810745315866,80,20,60,Load,Accuracy_Max,44,767,335.461292953103,1,693,NA,0.7653555555555559,23.228129264539376,80,1.878274,5.380029,0.395756
19074,Load_Accuracy_Mid,740,49,0.918367346938776,675.122448979592,273.715913604862,40,20,60,Load,Accuracy_Mid,45,690.644444444444,277.900011086031,4,500.5,147.552250632333,0.6751224489795921,22.369335872555276,40,1.164705,4.8236,0.386963
19074,Load_Neutral,760,44,0.93149974052932,804.496107939803,342.611306280929,20,20,60,Load,Neutral,82,785.841463414634,333.629256404015,6,967.5,576.718562212107,0.804496107939803,21.454410345592738,20,1.700678,3.478657,0.38962
19074,Load_Speed_Max,930,49,0.959183673469388,670.265306122449,276.488982263173,5,20,60,Load,Speed_Max,47,675.297872340426,281.280141565047,2,552,28.2842712474619,0.6702653061224491,28.31653624821119,5,1.375216,4.327199,0.378846
19074,Load_Speed_Mid,820,50,0.88,650.76,321.779589921107,10,20,60,Load,Speed_Mid,44,653.818181818182,313.075759664719,6,628.333333333333,413.624789714865,0.65076,25.201303091769628,10,1.546847,4.667235,0.315748
19074,NoLoad_Accuracy_Max,920,46,1,779.717391304348,211.011601897303,80,20,60,NoLoad,Accuracy_Max,46,779.717391304348,211.011601897303,0,NA,NA,0.779717391304348,25.65031923495134,80,1.510186,3.648042,0.507196
19074,NoLoad_Accuracy_Mid,980,49,1,691.816326530612,139.65726999059,40,20,60,NoLoad,Accuracy_Mid,49,691.816326530612,139.65726999059,0,NA,NA,0.691816326530612,28.90940735714919,40,1.161089,6.069578,0.54678
19074,NoLoad_Neutral,920,53,0.933962264150943,595.424528301887,158.753008715992,20,20,60,NoLoad,Neutral,99,590.868686868687,150.473175212269,7,659.857142857143,248.965478578476,0.595424528301887,29.153133169610985,20,1.493548,4.400954,0.381384
19074,NoLoad_Speed_Max,955,55,0.909090909090909,567.472727272727,174.209734658634,5,20,60,NoLoad,Speed_Max,50,572.24,178.160276385149,5,519.8,133.261772463074,0.5674727272727269,31.23898625484606,5,1.334383,4.040088,0.355693
19074,NoLoad_Speed_Mid,940,53,0.924528301886792,586.245283018868,160.419990321125,10,20,60,NoLoad,Speed_Mid,49,587.816326530612,161.147276514036,4,567,173.310895983682,0.586245283018868,30.253290849988705,10,1.488486,3.731067,0.349979
19075,Load_Accuracy_Max,580,44,0.931818181818182,810.727272727273,315.214608594619,80,20,60,Load,Accuracy_Max,41,802.951219512195,305.118743378665,3,917,506.079045209343,0.810727272727273,16.25925095312852,80,1.668312,5.136906,0.490657
19075,Load_Accuracy_Mid,820,47,0.957446808510638,711.36170212766,400.290895612282,40,20,60,Load,Accuracy_Mid,45,716.4,408.049484521402,2,598,132.936074863071,0.71136170212766,24.525931686307313,40,1.715463,4.057874,0.345224
19075,Load_Neutral,730,50.5,0.859497645211931,620.162087912088,279.710942383859,20,20,60,Load,Neutral,87,631.965517241379,292.075310783377,14,539.285714285714,196.876934841356,0.620162087912088,23.18733455134343,20,0.950358,2.98723,0.359363
19075,Load_Speed_Max,695,46,0.804347826086957,726.152173913043,308.686246131448,5,20,60,Load,Speed_Max,37,728.675675675676,303.896277449145,9,715.777777777778,346.773260855627,0.7261521739130431,20.80651438493551,5,0.955622,1.639348,0.428781
19075,Load_Speed_Mid,670,44,0.840909090909091,793.568181818182,432.45644478777,10,20,60,Load,Speed_Mid,37,763.378378378378,399.563744834521,7,953.142857142857,589.121500929259,0.793568181818182,19.188360970300998,10,0.937092,3.586475,0.463261
19075,NoLoad_Accuracy_Max,640,52,0.923076923076923,628.480769230769,253.219310540822,80,20,60,NoLoad,Accuracy_Max,48,637.625,261.019655655083,4,518.75,72.5137917916309,0.628480769230769,19.583244086778247,80,1.513796,3.574738,0.354631
19075,NoLoad_Accuracy_Mid,600,54,0.851851851851852,574.759259259259,133.779448908957,40,20,60,NoLoad,Accuracy_Mid,46,590.260869565217,135.962320725283,8,485.625,77.5203890230545,0.574759259259259,19.33176531236913,40,0.799828,5.233605,0.474164
19075,NoLoad_Neutral,860,52,0.912222222222222,629.86,184.693599437022,20,20,60,NoLoad,Neutral,95,631.505263157895,201.640604746769,9,592.333333333333,148.905171166081,0.62986,26.17865698550294,20,1.339599,3.865953,0.387884
19075,NoLoad_Speed_Max,880,54,0.851851851851852,575.351851851852,219.043905085251,5,20,60,NoLoad,Speed_Max,46,584.95652173913,230.655197838364,8,520.125,131.054446155569,0.575351851851852,28.324052914480667,5,1.005545,3.881213,0.353223
19075,NoLoad_Speed_Mid,870,54,0.87037037037037,574.055555555556,148.080602307913,10,20,60,NoLoad,Speed_Mid,47,578.787234042553,151.112819381129,7,542.285714285714,131.431495826678,0.574055555555556,28.065421465208516,10,0.925366,5.334894,0.420996
19076,Load_Accuracy_Max,640,42,0.952380952380952,876.404761904762,361.679689816213,80,20,60,Load,Accuracy_Max,40,865.675,357.261405947364,2,1091,537.401153701776,0.876404761904762,17.387052079654385,80,1.77549,3.14558,0.416263
19076,Load_Accuracy_Mid,440,31,0.903225806451613,1393,652.728376381273,40,20,60,Load,Accuracy_Mid,28,1389.35714285714,669.960099104069,3,1427,573.992160225207,1.393,10.189194822036454,40,2.830128,1.925866,0.382519
19076,Load_Neutral,620,41,0.877757901013715,896.421586165772,435.294036562515,20,20,60,Load,Neutral,72,880.277777777778,458.078694949703,10,982.2,342.211695364791,0.896421586165772,16.856260797086943,20,1.503674,3.668242,0.472772
19076,Load_Speed_Max,665,42,0.833333333333333,882.428571428571,408.043167423296,5,20,60,Load,Speed_Max,35,819.057142857143,379.611174358025,7,1199.28571428571,424.963415792353,0.882428571428571,17.942906481031784,5,1.520771,2.378867,0.417682
19076,Load_Speed_Mid,710,43,0.883720930232558,823.209302325581,323.487878490762,10,20,60,Load,Speed_Mid,38,807.552631578947,278.011733892792,5,942.2,603.159763246853,0.823209302325581,20.05763037459744,10,1.520331,3.797056,0.46554
19076,NoLoad_Accuracy_Max,560,43,0.930232558139535,855.720930232558,433.928034717048,80,20,60,NoLoad,Accuracy_Max,40,861.975,447.148772781498,3,772.333333333333,209.957932294384,0.855720930232558,15.21904554842919,80,1.743801,3.535746,0.379373
19076,NoLoad_Accuracy_Mid,740,49,0.918367346938776,689.714285714286,172.295047326768,40,20,60,NoLoad,Accuracy_Mid,45,684.733333333333,175.006415466821,4,745.75,145.639680948108,0.6897142857142861,21.896082376612643,40,1.177333,4.959249,0.510477
19076,NoLoad_Neutral,570,48.5,0.793617021276596,695.083191489362,336.88165260683,20,20,60,NoLoad,Neutral,77,694.441558441559,367.290631140865,20,691.25,229.589765726427,0.6950831914893619,16.89679882187683,20,1.032422,2.751589,0.419368
19076,NoLoad_Speed_Max,895,51,0.901960784313726,653.588235294118,206.003123905497,5,20,60,NoLoad,Speed_Max,46,655.347826086957,213.829237933378,5,637.4,125.378626567689,0.653588235294118,26.85026850268503,5,1.075777,4.444331,0.451892
19076,NoLoad_Speed_Mid,650,49,0.775510204081633,681.326530612245,228.294253445992,10,20,60,NoLoad,Speed_Mid,38,681.342105263158,242.209120759793,11,681.272727272727,181.951142293249,0.681326530612245,19.469821776246828,10,0.97026,2.833503,0.450136
19077,Load_Accuracy_Max,460,33,0.93939393939394,1148.93939393939,535.415139132357,80,20,60,Load,Accuracy_Max,31,1113.51612903226,523.079909189647,2,1698,568.513852073984,1.14893939393939,12.132401424238523,80,1.860743,2.491453,0.520621
19077,Load_Accuracy_Mid,480,27,0.962962962962963,1678.59259259259,978.348776068804,40,20,60,Load,Accuracy_Mid,26,1631.11538461538,965.483436498963,1,2913,NA,1.6785925925925902,10.59088301487138,40,2.797108,1.716538,0.137544
19077,Load_Neutral,720,43,0.921138211382114,844.738211382114,402.126917638886,20,20,60,Load,Neutral,79,835.835443037975,408.125182856353,7,908.714285714286,394.162705104425,0.8447382113821139,19.941714756483957,20,1.68315,2.519584,0.41601900000000003
19077,Load_Speed_Max,640,42,0.80952380952381,862.071428571429,420.062910088543,5,20,60,Load,Speed_Max,34,907.823529411765,442.872405907659,8,667.625,235.564330006537,0.862071428571429,17.676139972933413,5,1.124441,1.609302,0.379069
19077,Load_Speed_Mid,690,45,0.844444444444444,785,255.124479421321,10,20,60,Load,Speed_Mid,38,775.368421052632,256.96433878702,7,837.285714285714,257.584105543357,0.785,19.532908704883205,10,1.126471,3.274718,0.477895
19077,NoLoad_Accuracy_Max,460,53,0.886792452830189,592.679245283019,168.345543632607,80,20,60,NoLoad,Accuracy_Max,47,575.085106382979,138.632581305568,6,730.5,303.677954418822,0.592679245283019,14.644085063033291,80,1.155096,3.744513,0.382044
19077,NoLoad_Accuracy_Mid,860,52,0.942307692307692,615.019230769231,194.054620407136,40,20,60,NoLoad,Accuracy_Mid,49,612,191.751249452687,3,664.333333333333,271.923396075684,0.6150192307692309,26.890966511366084,40,1.31614,4.431973,0.388882
19077,NoLoad_Neutral,790,56,0.849282296650718,533.60653907496,116.192900222233,20,20,60,NoLoad,Neutral,95,546.757894736842,117.230788544455,17,457.941176470588,85.9298191754726,0.53360653907496,26.182759848199797,20,1.395685,5.796455,0.357519
19077,NoLoad_Speed_Max,870,56,0.821428571428571,538.25,149.554641884132,5,20,60,NoLoad,Speed_Max,46,546.760869565217,141.945401832709,10,499.1,184.035292509043,0.53825,28.86338000132703,5,1.015194,4.278489,0.373995
19077,NoLoad_Speed_Mid,1050,57,0.947368421052632,524.473684210526,128.343999979847,10,20,60,NoLoad,Speed_Mid,54,524.425925925926,127.846990187763,3,525.333333333333,167.574858893968,0.524473684210526,35.12293025589568,10,1.294769,5.075851,0.349181
19078,Load_Accuracy_Max,460,38,0.921052631578947,1003.89473684211,362.487039058039,80,20,60,Load,Accuracy_Max,35,958,314.188497187128,3,1539.33333333333,534.597356272301,1.00389473684211,12.058299255530997,80,1.29132,4.823143,0.69195
19078,Load_Accuracy_Mid,620,43,0.906976744186047,819.372093023256,340.907474059054,40,20,60,Load,Accuracy_Mid,39,818.205128205128,338.163241449668,4,830.75,422.340601095056,0.819372093023256,17.597139045780978,40,1.086729,4.074192,0.552998
19078,Load_Neutral,520,46,0.782608695652174,726.760869565217,246.258929171295,20,20,60,Load,Neutral,72,723.847222222222,242.242263774042,20,737.25,263.254504634824,0.726760869565217,15.554425533187768,20,1.175119,2.855902,0.428833
19078,Load_Speed_Max,640,47,0.74468085106383,696.382978723404,313.315964510303,5,20,60,Load,Speed_Max,35,684.942857142857,250.534715553512,12,729.75,463.547217365473,0.696382978723404,19.55392606171709,5,1.115238,2.99887,0.358256
19078,Load_Speed_Mid,600,45,0.777777777777778,750.911111111111,267.026115697784,10,20,60,Load,Speed_Mid,35,707.885714285714,225.59317514559,10,901.5,352.046477360905,0.7509111111111111,17.756207274126258,10,0.904058,5.255458,0.483677
