Subject,posterior_alpha,posterior_beta,frontal_theta,frontal_theta_beta_ratio,global_alpha,global_beta,IAF,aperiodic_exponent,n_bad_channels,n_epochs_total,n_epochs_kept,flag_low_epochs,qc_flag,processing_failed,error
19027,-22.163352965876538,-23.52639491331282,-21.877556254147194,2.178470356732472,-22.62307762042287,-23.749195072658047,7.0,1.6282343588354786,1.0,589.0,576.0,False,False,,
19029,,,,,,,,,,,,,,True,epochs._get_data() can't run because this Epochs-object is empty. You might want to check Epochs.drop_log or Epochs.plot_drop_log() to see why epochs were dropped.
19032,-21.528442319995822,-23.619839170535077,-21.860909820464638,2.4434542561720427,-21.88389587851358,-23.662437150882944,9.0,1.4902477824683833,0.0,589.0,413.0,False,False,,
19033,-21.12112453635556,-23.080186560690077,-21.57257034893202,1.7899987303859284,-21.47770496433798,-23.08947525194943,8.5,1.4094427580367255,3.0,589.0,573.0,False,False,,
19034,-18.46130393634702,-22.216678267386182,-20.086821384067377,2.7449468308566836,-19.275592341805975,-22.737389616165636,9.0,2.301222251465981,1.0,589.0,567.0,False,False,,
19035,-21.72613236017156,-22.74648675550417,-22.03440966236129,1.2827193630404459,-22.213973781421164,-22.804690669007144,11.5,0.8368622620528149,1.0,589.0,561.0,False,False,,
19036,-21.15075351453376,-22.877890580046042,-22.11739058031665,1.2509789792701227,-21.634415853636096,-23.201153555186757,11.5,1.6049731452727594,2.0,589.0,572.0,False,False,,
19037,-21.898739681429415,-23.09789976617039,-21.495086679924885,1.0803036929528318,-22.27650717829308,-22.992493018826682,7.0,1.4249572398239785,1.0,589.0,472.0,False,False,,
19038,-21.542213020228917,-23.162001352690215,-21.000693208580273,2.317704452412247,-21.6799284470345,-23.059549283472148,7.0,1.7546792550074284,1.0,589.0,196.0,False,False,,
19039,-22.170033517681645,-23.381166000604892,-21.62582692834055,2.2202648101079063,-22.597779496959024,-23.70808244517801,12.0,1.6182184772086945,1.0,589.0,580.0,False,False,,
19043,-18.764576553152693,-22.396826859662497,-20.599857254640888,2.164616703755353,-19.396599894714786,-22.37886200896017,9.0,1.3695410089196494,1.0,589.0,580.0,False,False,,
19044,-21.864653488725878,-23.135585241019783,-21.713248776004598,1.4743307149524547,-22.096734051374405,-23.12531873213437,10.0,1.2695814631069293,0.0,589.0,519.0,False,False,,
19046,-19.393488492224364,-23.018632469016953,-21.43324947531791,2.4583608877704606,-20.226102699114307,-23.235822060106646,9.0,1.5959543472636923,0.0,589.0,562.0,False,False,,
19048,-21.30366724283041,-23.715870198800484,-21.76790164033531,1.865958237653146,-21.596511088509146,-23.61766789739332,10.5,1.7677110478532765,0.0,589.0,537.0,False,False,,
19050,-21.434669930836982,-23.080073771184736,-21.418830436120775,1.8607709471938847,-21.749149148765945,-23.132085778576453,8.5,1.4811413556314463,0.0,589.0,529.0,False,False,,
